,dataset,matrix,same_idx,same_sibling_rate,vocab_size,config,is_pre
0,Benign,blosum62,0.6008071077553943,0.05600996695736959,800,0.7_3_12_0,False
1,Benign,blosum62,0.5820288345754548,0.0,6400,bpe,False
2,Benign,blosum62,0.5647476161031015,0.22964328934478187,51200,0.7_3_12_0.1,False
3,Benign,blosum62,0.6081622026231002,0.0310376197356451,1600,0.8_3_12_0.2,False
4,Benign,blosum62,0.5499072476974648,0.13014144522696336,51200,0.8_3_12_0.2,False
5,Benign,blosum62,0.618446317570866,0.0,3200,bpe,False
6,Benign,blosum62,0.611969928727178,0.0194639438417358,800,0.8_3_12_0.005,False
7,Benign,blosum62,0.5570345298922772,0.0,12800,bpe,False
8,Benign,blosum62,0.6251505190874476,0.014160029153001198,800,0.9_3_12_0,False
9,Benign,blosum62,0.6230676603638494,0.025489683990598068,1600,0.9_3_12_0.005,False
10,Benign,blosum62,0.6251505190874476,0.014160029153001198,800,0.9_3_12_0.05,False
11,Benign,blosum62,0.5432355908484395,0.06679846633117661,51200,0.9_3_12_0.1,False
12,Benign,blosum62,0.5600611839750057,0.2319135336161311,51200,0.7_3_12_0.05,False
13,Benign,blosum62,0.6131740814267582,0.035985351096014015,1600,0.8_3_12_0.1,False
14,Benign,blosum62,0.5944934422494874,0.06153172387365194,800,0.7_3_12_0.1,False
15,Benign,blosum62,0.592085136850327,0.16011652833507392,6400,0.7_3_12_0.1,False
16,Benign,blosum62,0.577798027793146,0.10009012053621719,12800,0.8_3_12_0,False
17,Benign,blosum62,0.5586617632700882,0.21041593848304788,25600,0.7_3_12_0,False
18,Benign,blosum62,0.5773749471149152,0.10038892959810608,12800,0.8_3_12_0.005,False
19,Benign,blosum62,0.6080971132879878,0.134011238961734,3200,0.7_3_12_0.1,False
20,Benign,blosum62,0.6041917531812413,0.12151898734177215,3200,0.7_3_12_0.2,False
21,Benign,blosum62,0.6255410550981222,0.013995109515633942,800,0.9_3_12_0.2,False
22,Benign,blosum62,0.5640967227519771,0.05227023596607627,12800,0.9_3_12_0.05,False
23,Benign,blosum62,0.5575877892407329,0.2313080021012082,51200,0.7_3_12_0.005,False
24,Benign,blosum62,0.5896768314511667,0.09917765881119267,1600,0.7_3_12_0,False
25,Benign,blosum62,0.6125882774107463,0.0190192849173883,800,0.8_3_12_0,False
26,Benign,blosum62,0.5816057538972239,0.14845280062671368,6400,0.7_3_12_0.2,False
27,Benign,blosum62,0.5576203339082891,0.2310026847204389,51200,0.7_3_12_0,False
28,Benign,blosum62,0.5978455430077781,0.05922700054436581,800,0.7_3_12_0.05,False
29,Benign,blosum62,0.6233931070394116,0.05549464891673193,3200,0.8_3_12_0.05,False
30,Benign,blosum62,0.5576203339082891,0.21104237189214428,25600,0.7_3_12_0.005,False
31,Benign,blosum62,0.61255573274319,0.03495909042609712,1600,0.8_3_12_0.005,False
32,Benign,blosum62,0.6003189377420509,0.07671039791824785,6400,0.8_3_12_0.05,False
33,Benign,blosum62,0.620789533634914,0.031874180865006554,3200,0.9_3_12_0,False
34,Benign,blosum62,0.5643245354248706,0.051730103806228375,12800,0.9_3_12_0,False
35,Benign,blosum62,0.5733394083379438,0.10211727308849407,12800,0.8_3_12_0.1,False
36,Benign,blosum62,0.5634783740684088,0.2147972738824073,25600,0.7_3_12_0.1,False
37,Benign,blosum62,0.588537768086699,0.04097544790975448,6400,0.9_3_12_0.2,False
38,Benign,blosum62,0.620366452956683,0.03179099779666352,3200,0.9_3_12_0.2,False
39,Benign,blosum62,0.5612978813421421,0.17713225488490753,12800,0.7_3_12_0.2,False
40,Benign,blosum62,0.5546913138282292,0.11323632950011735,25600,0.8_3_12_0.2,False
41,Benign,blosum62,0.5645848927653204,0.05170624855891169,12800,0.9_3_12_0.005,False
42,Benign,blosum62,0.6230676603638494,0.025489683990598068,1600,0.9_3_12_0.05,False
43,Benign,blosum62,0.5891235721027109,0.04132140095017125,6400,0.9_3_12_0,False
44,Benign,blosum62,0.6062420672372831,0.12824779901223965,3200,0.7_3_12_0.005,False
45,Benign,blosum62,0.620366452956683,0.03194837897387472,3200,0.9_3_12_0.1,False
46,Benign,blosum62,0.5521853744264003,0.061295455884953144,25600,0.9_3_12_0.1,False
47,Benign,blosum62,0.623588375044749,0.05459005271123637,3200,0.8_3_12_0,False
48,Benign,blosum62,0.6214404269860383,0.0,800,bpe,False
49,Benign,blosum62,0.5749340970481986,0.10279633193705423,12800,0.8_3_12_0.05,False
50,Benign,blosum62,0.5643245354248706,0.05161476355247981,12800,0.9_3_12_0.2,False
51,Benign,blosum62,0.6079343899502067,0.01589935760171306,800,0.8_3_12_0.2,False
52,Benign,blosum62,0.603703583167898,0.07487870619946092,6400,0.8_3_12_0,False
53,Benign,blosum62,0.5917922348423211,0.10311262648482182,1600,0.7_3_12_0.05,False
54,Benign,blosum62,0.5884726787515866,0.041477712642406815,6400,0.9_3_12_0.1,False
55,Benign,blosum62,0.5946561655872685,0.1532399299474606,6400,0.7_3_12_0.005,False
56,Benign,blosum62,0.5608097113287988,0.21349814298978645,25600,0.7_3_12_0.05,False
57,Benign,blosum62,0.6159729228365932,0.047920959475881014,3200,0.8_3_12_0.2,False
58,Benign,blosum62,0.5719074429654701,0.1842599442326296,12800,0.7_3_12_0,False
59,Benign,blosum62,0.5641618120870895,0.12500721084511104,25600,0.8_3_12_0,False
60,Benign,blosum62,0.5640316334168647,0.1250937626218914,25600,0.8_3_12_0.005,False
61,Benign,blosum62,0.6204640869593517,0.0,1600,bpe,False
62,Benign,blosum62,0.6104728740195919,0.019884849131037424,800,0.8_3_12_0.1,False
63,Benign,blosum62,0.585738926676864,0.06834092676964107,6400,0.8_3_12_0.2,False
64,Benign,blosum62,0.5983337130211215,0.07663856404677727,6400,0.8_3_12_0.1,False
65,Benign,blosum62,0.6208220783024702,0.03187250996015936,3200,0.9_3_12_0.005,False
66,Benign,blosum62,0.552738633774856,0.06111634479510127,25600,0.9_3_12_0.05,False
67,Benign,blosum62,0.5891886614378234,0.04131683605832965,6400,0.9_3_12_0.005,False
68,Benign,blosum62,0.6235558303771926,0.055010438413361167,3200,0.8_3_12_0.1,False
69,Benign,blosum62,0.5509161323917077,0.21491020793950852,51200,0.7_3_12_0.2,False
70,Benign,blosum62,0.5455462622449312,0.06723140249358707,51200,0.9_3_12_0.005,False
71,Benign,blosum62,0.6251505190874476,0.014160029153001198,800,0.9_3_12_0.005,False
72,Benign,blosum62,0.5928987535392326,0.10604896256449665,1600,0.7_3_12_0.1,False
73,Benign,blosum62,0.5457740749178247,0.06732259988073941,51200,0.9_3_12_0,False
74,Benign,blosum62,0.5592801119536563,0.14634855979051498,51200,0.8_3_12_0.1,False
75,Benign,blosum62,0.5603215413154554,0.14793518034500783,51200,0.8_3_12_0.05,False
76,Benign,blosum62,0.6068278712532952,0.12699774750616755,3200,0.7_3_12_0,False
77,Benign,blosum62,0.5436261268591142,0.06585249042145594,51200,0.9_3_12_0.2,False
78,Benign,blosum62,0.5983988023562339,0.09512155327133301,1600,0.7_3_12_0.2,False
79,Benign,blosum62,0.5987893383669086,0.05734007283004511,800,0.7_3_12_0.005,False
80,Benign,blosum62,0.5430403228431021,0.0,25600,bpe,False
81,Benign,blosum62,0.5963810329677482,0.15115961800818553,6400,0.7_3_12_0,False
82,Benign,blosum62,0.6251505190874476,0.014160029153001198,800,0.9_3_12_0.1,False
83,Benign,blosum62,0.5606795326585738,0.09194334803807755,12800,0.8_3_12_0.2,False
84,Benign,blosum62,0.5542356884824422,0.19994128009395185,25600,0.7_3_12_0.2,False
85,Benign,blosum62,0.5535847951313178,0.06096413874191652,25600,0.9_3_12_0.005,False
86,Benign,blosum62,0.5539427864744362,0.060807238117619414,25600,0.9_3_12_0,False
87,Benign,blosum62,0.5681648061965047,0.1915454233016382,12800,0.7_3_12_0.1,False
88,Benign,blosum62,0.5638038207439711,0.12618332948510735,25600,0.8_3_12_0.1,False
89,Benign,blosum62,0.5673511895075992,0.18826363792806747,12800,0.7_3_12_0.05,False
90,Benign,blosum62,0.6033130471572233,0.07530477937210055,6400,0.8_3_12_0.005,False
91,Benign,blosum62,0.5509812217268201,0.06054341405788541,25600,0.9_3_12_0.2,False
92,Benign,blosum62,0.5951768802681681,0.05588363954505687,800,0.7_3_12_0.2,False
93,Benign,blosum62,0.5634783740684088,0.12712255977821416,25600,0.8_3_12_0.05,False
94,Benign,blosum62,0.613727340775214,0.03526354862657758,1600,0.8_3_12_0.05,False
95,Benign,blosum62,0.5350017899567155,0.0,51200,bpe,False
96,Benign,blosum62,0.6232954730367429,0.054876775271512114,3200,0.8_3_12_0.005,False
97,Benign,blosum62,0.56364109740619,0.05237022922801547,12800,0.9_3_12_0.1,False
98,Benign,blosum62,0.5610700686692486,0.146461716937355,51200,0.8_3_12_0,False
99,Benign,blosum62,0.5617535066879292,0.14634146341463414,51200,0.8_3_12_0.005,False
100,Benign,blosum62,0.5888632147622612,0.041560738366309274,6400,0.9_3_12_0.05,False
101,Benign,blosum62,0.6230676603638494,0.025489683990598068,1600,0.9_3_12_0,False
102,Benign,blosum62,0.6202688189540144,0.03200587648879794,3200,0.9_3_12_0.05,False
103,Benign,blosum62,0.623588375044749,0.02515526329523511,1600,0.9_3_12_0.2,False
104,Benign,blosum62,0.6122953754027403,0.03438928457531625,1600,0.8_3_12_0,False
105,Benign,blosum62,0.5887655807595925,0.15792382952849482,6400,0.7_3_12_0.05,False
106,Benign,blosum62,0.6232954730367429,0.0254281537176274,1600,0.9_3_12_0.1,False
107,Benign,blosum62,0.5902951801347349,0.09984562796339178,1600,0.7_3_12_0.005,False
108,Benign,blosum62,0.6078042112799817,0.13107731848361534,3200,0.7_3_12_0.05,False
109,Benign,blosum62,0.6116444820516158,0.020166010428860275,800,0.8_3_12_0.05,False
110,Benign,blosum62,0.5445048328831321,0.06724045185583648,51200,0.9_3_12_0.05,False
111,Benign,blosum62,0.5698571289094282,0.18589377498572243,12800,0.7_3_12_0.005,False
112,Benign,pam250,0.6062420672372831,0.07225681769379429,800,0.8_3_12_0.05,False
113,Benign,pam250,0.6057213525563836,0.07559638942617666,3200,0.9_3_12_0,False
114,Benign,pam250,0.6052657272105966,0.07597591138832133,3200,0.9_3_12_0.005,False
115,Benign,pam250,0.5479545676440916,0.25746867019065156,51200,0.8_3_12_0.2,False
116,Benign,pam250,0.6036059491652292,0.05898528063837818,1600,0.9_3_12_0.1,False
117,Benign,pam250,0.5887330360920363,0.09508015478164732,6400,0.9_3_12_0.005,False
118,Benign,pam250,0.5469456829498487,0.14714982744258004,25600,0.9_3_12_0.05,False
119,Benign,pam250,0.5898720994565041,0.0944551724137931,6400,0.9_3_12_0,False
120,Benign,pam250,0.6051680932079279,0.058456574347943,1600,0.9_3_12_0.2,False
121,Benign,pam250,0.5947212549223809,0.14632811644960053,3200,0.8_3_12_0,False
122,Benign,pam250,0.5513392130699385,0.2802077799421522,51200,0.8_3_12_0.005,False
123,Benign,pam250,0.5955348716112865,0.1743811137220613,6400,0.8_3_12_0,False
124,Benign,pam250,0.5485729163276597,0.16201945894636924,51200,0.9_3_12_0.1,False
125,Benign,pam250,0.6050704592052593,0.07024526678141135,800,0.8_3_12_0,False
126,Benign,pam250,0.6043544765190224,0.07113624124932687,800,0.8_3_12_0.005,False
127,Benign,pam250,0.5466202362742865,0.16295546558704455,51200,0.9_3_12_0,False
128,Benign,pam250,0.5517622937481693,0.28441665683614487,51200,0.8_3_12_0.05,False
129,Benign,pam250,0.6126208220783025,0.03511474713132172,800,0.9_3_12_0,False
130,Benign,pam250,0.5626973020470596,0.24904569115095432,25600,0.8_3_12_0,False
131,Benign,pam250,0.5482800143196537,0.1459013474209058,25600,0.9_3_12_0.005,False
132,Benign,pam250,0.6057864418914961,0.07182765660255722,800,0.8_3_12_0.1,False
133,Benign,pam250,0.5561232792007029,0.2575491573033708,25600,0.8_3_12_0.05,False
134,Benign,pam250,0.5927685748690077,0.17662237839024925,6400,0.8_3_12_0.005,False
135,Benign,pam250,0.5954372376086178,0.14811980760822038,3200,0.8_3_12_0.005,False
136,Benign,pam250,0.5518273830832818,0.28096249115357397,51200,0.8_3_12_0,False
137,Benign,pam250,0.5928011195365639,0.18051056821301126,6400,0.8_3_12_0.05,False
138,Benign,pam250,0.5996029550558141,0.15127008250108553,3200,0.8_3_12_0.05,False
139,Benign,pam250,0.5462947895987242,0.16299297033241988,51200,0.9_3_12_0.005,False
140,Benign,pam250,0.5512090343997136,0.23965283107988428,25600,0.8_3_12_0.2,False
141,Benign,pam250,0.6035408598301168,0.057859261256403345,1600,0.9_3_12_0.05,False
142,Benign,pam250,0.6006118397500569,0.15036575453806555,3200,0.8_3_12_0.1,False
143,Benign,pam250,0.5469782276174049,0.162967811031118,51200,0.9_3_12_0.05,False
144,Benign,pam250,0.5880495980733557,0.18313132990204217,6400,0.8_3_12_0.1,False
145,Benign,pam250,0.5701500309174342,0.22198755636737258,12800,0.8_3_12_0.1,False
146,Benign,pam250,0.6123604647378527,0.03571428571428571,800,0.9_3_12_0.1,False
147,Benign,pam250,0.5820939239105672,0.17348764396734875,6400,0.8_3_12_0.2,False
148,Benign,pam250,0.5576203339082891,0.12297186879887942,12800,0.9_3_12_0.2,False
149,Benign,pam250,0.5485078269925473,0.14572208377833154,25600,0.9_3_12_0,False
150,Benign,pam250,0.6017509031145247,0.14099513250405624,3200,0.8_3_12_0.2,False
151,Benign,pam250,0.5619162300257103,0.24962353758832387,25600,0.8_3_12_0.005,False
152,Benign,pam250,0.5489634523383343,0.14732036993123074,25600,0.9_3_12_0.1,False
153,Benign,pam250,0.5861620073550948,0.0978846260618511,6400,0.9_3_12_0.1,False
154,Benign,pam250,0.601946171119862,0.057309688581314876,1600,0.9_3_12_0.005,False
155,Benign,pam250,0.6117421160542845,0.03575038569984572,800,0.9_3_12_0.2,False
156,Benign,pam250,0.601946171119862,0.05725562283737024,1600,0.9_3_12_0,False
157,Benign,pam250,0.6079018452826505,0.07628888056105787,3200,0.9_3_12_0.1,False
158,Benign,pam250,0.5946887102548247,0.10879439610354075,1600,0.8_3_12_0,False
159,Benign,pam250,0.5612978813421421,0.12210819272917028,12800,0.9_3_12_0.005,False
160,Benign,pam250,0.6079669346177629,0.07515657620041753,3200,0.9_3_12_0.2,False
161,Benign,pam250,0.577928206463371,0.20875098547133686,12800,0.8_3_12_0,False
162,Benign,pam250,0.5834607999479285,0.09750111557340473,6400,0.9_3_12_0.2,False
163,Benign,pam250,0.5596055586292186,0.12369874963652225,12800,0.9_3_12_0.05,False
164,Benign,pam250,0.5539427864744362,0.2814758239821397,51200,0.8_3_12_0.1,False
165,Benign,pam250,0.6126208220783025,0.03511474713132172,800,0.9_3_12_0.005,False
166,Benign,pam250,0.5449930028964755,0.15770930371431985,51200,0.9_3_12_0.2,False
167,Benign,pam250,0.5556676538549159,0.2582288860255359,25600,0.8_3_12_0.1,False
168,Benign,pam250,0.5941029062388128,0.10972336346206518,1600,0.8_3_12_0.005,False
169,Benign,pam250,0.6023692517980929,0.06796693500459236,800,0.8_3_12_0.2,False
170,Benign,pam250,0.5652683307840011,0.21054752720363867,12800,0.8_3_12_0.2,False
171,Benign,pam250,0.5753246330588733,0.2128634460911868,12800,0.8_3_12_0.005,False
172,Benign,pam250,0.5594102906238813,0.12426551864564547,12800,0.9_3_12_0.1,False
173,Benign,pam250,0.5617860513554854,0.12159657050167999,12800,0.9_3_12_0,False
174,Benign,pam250,0.5470758616200736,0.14443783462224866,25600,0.9_3_12_0.2,False
175,Benign,pam250,0.5937123702281382,0.11429041276105904,1600,0.8_3_12_0.05,False
176,Benign,pam250,0.5948188889250496,0.11550035563823384,1600,0.8_3_12_0.1,False
