,job_id,mat,tkz_path,is_bpe,v_size,freq_cutoff,sim_cutoff,same_count_pos,same_count_neg,sibling_count_pos,sibling_count_neg
0,0,blosum62,hf_uniref50_mutbpe_0.7_3_12_0_800.json,False,800,0,0.7,106479,70887,2939,1206
1,1,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.1_51200.json,False,51200,0.1,0.7,96040,62329,10870,4463
2,2,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.2_1600.json,False,1600,0.2,0.8,108055,71574,1516,526
3,3,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.2_51200.json,False,51200,0.2,0.8,94573,61844,5391,1833
4,4,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.005_800.json,False,800,0.005,0.8,110210,73335,1079,382
5,5,blosum62,hf_uniref50_mutbpe_0.9_3_12_0_800.json,False,800,0,0.9,112948,75422,232,43
6,6,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.005_1600.json,False,1600,0.005,0.9,112065,74335,474,76
7,7,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.05_800.json,False,800,0.05,0.9,112948,75422,232,43
8,8,blosum62,hf_uniref50_mutbpe_0.9_3_12_0.1_51200.json,False,51200,0.1,0.9,96227,62432,1356,284
9,9,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.05_51200.json,False,51200,0.05,0.7,95587,61671,11019,4568
10,10,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.1_1600.json,False,1600,0.1,0.8,107561,71207,1875,656
11,11,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.1_800.json,False,800,0.1,0.7,105624,70336,3295,1332
12,12,blosum62,hf_uniref50_mutbpe_0.7_3_12_0.1_6400.json,False,6400,0.1,0.7,104656,69373,7980,3271
13,13,blosum62,hf_uniref50_mutbpe_0.8_3_12_0_12800.json,False,12800,0,0.8,99707,66219,4256,1480
14,14,blosum62,hf_uniref50_mutbpe_0.7_3_12_0_25600.json,False,25600,0,0.7,96850,63222,10078,4165
15,15,blosum62,hf_uniref50_mutbpe_0.8_3_12_0.005_12800.json,False,12800,0.005,0.8,99616,66083,4292,1493
